"Age,Choice_1,Choice_2,Choice_3,Choice_4"
"20,2400,4800,7200,9600"
"21,2520,5040,7560,10080"
"22,2646,5292,7938,10584"
"23,2778,5557,8335,11113"
"24,2917,5834,8752,11669"
"25,3063,6126,9189,12252"
"26,3216,6432,9649,12865"
"27,3377,6754,10131,13508"
"28,3546,7092,10638,14184"
"29,3723,7446,11170,14893"
"30,3909,7819,11728,15637"
"31,4105,8210,12314,16419"
"32,4310,8620,12930,17240"
"33,4526,9051,13577,18102"
"34,4752,9504,14256,19007"
"35,4989,9979,14968,19958"
"36,5239,10478,15717,20956"
"37,5501,11002,16503,22003"
"38,5776,11552,17328,23104"
"39,6065,12129,18194,24259"
"40,6368,12736,19104,25472"
"41,6686,13373,20059,26745"
"42,7021,14041,21062,28083"
"43,7372,14743,22115,29487"
"44,7740,15480,23221,30961"
"45,8127,16255,24382,32509"
"46,8534,17067,25601,34134"
"47,8960,17921,26881,35841"
"48,9408,18817,28225,37633"
"49,9879,19757,29636,39515"
"50,10373,20745,31118,41491"
"51,10891,21783,32674,43565"
"52,11436,22872,34308,45743"
"53,12008,24015,36023,48031"
"54,12608,25216,37824,50432"
"55,13238,26477,39715,52954"
"56,13900,27801,41701,55601"
"57,14595,29191,43786,58382"
"58,15325,30650,45975,61301"
"59,16091,32183,48274,64366"
"60,16896,33792,50688,67584"
"61,17741,35482,53222,70963"
"62,18628,37256,55883,74511"
"63,19559,39118,58678,78237"
"64,20537,41074,61611,82149"
"65,21564,43128,64692,86256"
"66,22642,45284,67927,90569"
"67,23774,47549,71323,95097"
"68,24963,49926,74889,99852"
"69,26211,52422,78634,104845"
"70,27522,55044,82565,110087"
"71,28898,57796,86694,115591"
