age,choice_1,coverage_1,choice_2,coverage_2,choice_3,coverage_3,choice_4,coverage_4
20,1500,150000,3000,300000,4500,450000,6000,600000
21,1500,150000,3000,300000,4500,450000,6000,600000
22,1500,150000,3000,300000,4500,450000,6000,600000
23,1500,150000,3000,300000,4500,450000,6000,600000
24,1500,150000,3000,300000,4500,450000,6000,600000
25,1500,150000,3000,300000,4500,450000,6000,600000
26,1500,150000,3000,300000,4500,450000,6000,600000
27,1500,150000,3000,300000,4500,450000,6000,600000
28,1500,150000,3000,300000,4500,450000,6000,600000
29,1500,150000,3000,300000,4500,450000,6000,600000
30,1500,150000,3000,300000,4500,450000,6000,600000
31,1500,150000,3000,300000,4500,450000,6000,600000
32,1500,150000,3000,300000,4500,450000,6000,600000
33,1500,150000,3000,300000,4500,450000,6000,600000
34,1500,150000,3000,300000,4500,450000,6000,600000
35,1500,150000,3000,300000,4500,450000,6000,600000
36,1500,150000,3000,300000,4500,450000,6000,600000
37,1500,150000,3000,300000,4500,450000,6000,600000
38,1500,150000,3000,300000,4500,450000,6000,600000
39,1500,150000,3000,300000,4500,450000,6000,600000
40,1500,150000,3000,300000,4500,450000,6000,600000
41,1500,150000,3000,300000,4500,450000,6000,600000
42,1500,150000,3000,300000,4500,450000,6000,600000
43,1500,150000,3000,300000,4500,450000,6000,600000
44,1500,150000,3000,300000,4500,450000,6000,600000
45,1500,150000,3000,300000,4500,450000,6000,600000
46,1500,150000,3000,300000,4500,450000,6000,600000
47,1500,150000,3000,300000,4500,450000,6000,600000
48,1500,150000,3000,300000,4500,450000,6000,600000
49,1500,150000,3000,300000,4500,450000,6000,600000
50,1500,150000,3000,300000,4500,450000,6000,600000
51,1500,150000,3000,300000,4500,450000,6000,600000
52,1500,150000,3000,300000,4500,450000,6000,600000
53,1500,150000,3000,300000,4500,450000,6000,600000
54,1500,150000,3000,300000,4500,450000,6000,600000
55,1500,150000,3000,300000,4500,450000,6000,600000
56,1500,150000,3000,300000,4500,450000,6000,600000
57,1500,150000,3000,300000,4500,450000,6000,600000
58,1500,150000,3000,300000,4500,450000,6000,600000
59,1500,150000,3000,300000,4500,450000,6000,600000
60,1500,150000,3000,300000,4500,450000,6000,600000
61,1500,150000,3000,300000,4500,450000,6000,600000
62,1500,150000,3000,300000,4500,450000,6000,600000
63,1500,150000,3000,300000,4500,450000,6000,600000
64,1500,150000,3000,300000,4500,450000,6000,600000
65,1500,150000,3000,300000,4500,450000,6000,600000
66,1500,150000,3000,300000,4500,450000,6000,600000
67,1500,150000,3000,300000,4500,450000,6000,600000
68,1500,150000,3000,300000,4500,450000,6000,600000
69,1500,150000,3000,300000,4500,450000,6000,600000
70,1500,150000,3000,300000,4500,450000,6000,600000
71,1500,150000,3000,300000,4500,450000,6000,600000
