age,choice_1,coverage_1,choice_2,coverage_2,choice_3,coverage_3,choice_4,coverage_4
20,500,250000,1000,500000,1500,750000,2000,1000000
21,525,250000,1050,500000,1575,750000,2100,1000000
22,551,250000,1103,500000,1654,750000,2205,1000000
23,579,250000,1158,500000,1736,750000,2315,1000000
24,608,250000,1216,500000,1823,750000,2431,1000000
25,638,250000,1276,500000,1914,750000,2553,1000000
26,670,250000,1340,500000,2010,750000,2680,1000000
27,704,250000,1407,500000,2111,750000,2814,1000000
28,739,250000,1477,500000,2216,750000,2955,1000000
29,776,250000,1551,500000,2327,750000,3103,1000000
30,814,250000,1629,500000,2443,750000,3258,1000000
31,855,250000,1710,500000,2566,750000,3421,1000000
32,898,250000,1796,500000,2694,750000,3592,1000000
33,943,250000,1886,500000,2828,750000,3771,1000000
34,990,250000,1980,500000,2970,750000,3960,1000000
35,1039,250000,2079,500000,3118,750000,4158,1000000
36,1091,250000,2183,500000,3274,750000,4366,1000000
37,1146,250000,2292,500000,3438,750000,4584,1000000
38,1203,250000,2407,500000,3610,750000,4813,1000000
39,1263,250000,2527,500000,3790,750000,5054,1000000
40,1327,250000,2653,500000,3980,750000,5307,1000000
41,1393,250000,2786,500000,4179,750000,5572,1000000
42,1463,250000,2925,500000,4388,750000,5851,1000000
43,1536,250000,3072,500000,4607,750000,6143,1000000
44,1613,250000,3225,500000,4838,750000,6450,1000000
45,1693,250000,3386,500000,5080,750000,6773,1000000
46,1778,250000,3556,500000,5334,750000,7111,1000000
47,1867,250000,3733,500000,5600,750000,7467,1000000
48,1960,250000,3920,500000,5880,750000,7840,1000000
49,2058,250000,4116,500000,6174,750000,8232,1000000
50,2161,250000,4322,500000,6483,750000,8644,1000000
51,2269,250000,4538,500000,6807,750000,9076,1000000
52,2382,250000,4765,500000,7147,750000,9530,1000000
53,2502,250000,5003,500000,7505,750000,10006,1000000
54,2627,250000,5253,500000,7880,750000,10507,1000000
55,2758,250000,5516,500000,8274,750000,11032,1000000
56,2896,250000,5792,500000,8688,750000,11584,1000000
57,3041,250000,6081,500000,9122,750000,12163,1000000
58,3193,250000,6385,500000,9578,750000,12771,1000000
59,3352,250000,6705,500000,10057,750000,13410,1000000
60,3520,250000,7040,500000,10560,750000,14080,1000000
61,3696,250000,7392,500000,11088,750000,14784,1000000
62,3881,250000,7762,500000,11642,750000,15523,1000000
63,4075,250000,8150,500000,12225,750000,16299,1000000
64,4279,250000,8557,500000,12836,750000,17114,1000000
65,4493,250000,8985,500000,13478,750000,17970,1000000
66,4717,250000,9434,500000,14151,750000,18869,1000000
67,4953,250000,9906,500000,14859,750000,19812,1000000
68,5201,250000,10401,500000,15602,750000,20803,1000000
69,5461,250000,10921,500000,16382,750000,21843,1000000
70,5734,250000,11467,500000,17201,750000,22935,1000000
71,6020,250000,12041,500000,18061,750000,24082,1000000
