age,choice_1,coverage_1,choice_2,coverage_2,choice_3,coverage_3,choice_4,coverage_4
20,400,250000,800,500000,1200,750000,1600,1000000
21,420,250000,840,500000,1260,750000,1680,1000000
22,441,250000,882,500000,1323,750000,1764,1000000
23,463,250000,926,500000,1389,750000,1852,1000000
24,486,250000,972,500000,1459,750000,1945,1000000
25,511,250000,1021,500000,1532,750000,2042,1000000
26,536,250000,1072,500000,1608,750000,2144,1000000
27,563,250000,1126,500000,1689,750000,2251,1000000
28,591,250000,1182,500000,1773,750000,2364,1000000
29,621,250000,1241,500000,1862,750000,2482,1000000
30,652,250000,1303,500000,1955,750000,2606,1000000
31,684,250000,1368,500000,2052,750000,2737,1000000
32,718,250000,1437,500000,2155,750000,2873,1000000
33,754,250000,1509,500000,2263,750000,3017,1000000
34,792,250000,1584,500000,2376,750000,3168,1000000
35,832,250000,1663,500000,2495,750000,3326,1000000
36,873,250000,1746,500000,2619,750000,3493,1000000
37,917,250000,1834,500000,2750,750000,3667,1000000
38,963,250000,1925,500000,2888,750000,3851,1000000
39,1011,250000,2022,500000,3032,750000,4043,1000000
40,1061,250000,2123,500000,3184,750000,4245,1000000
41,1114,250000,2229,500000,3343,750000,4458,1000000
42,1170,250000,2340,500000,3510,750000,4680,1000000
43,1229,250000,2457,500000,3686,750000,4914,1000000
44,1290,250000,2580,500000,3870,750000,5160,1000000
45,1355,250000,2709,500000,4064,750000,5418,1000000
46,1422,250000,2845,500000,4267,750000,5689,1000000
47,1493,250000,2987,500000,4480,750000,5974,1000000
48,1568,250000,3136,500000,4704,750000,6272,1000000
49,1646,250000,3293,500000,4939,750000,6586,1000000
50,1729,250000,3458,500000,5186,750000,6915,1000000
51,1815,250000,3630,500000,5446,750000,7261,1000000
52,1906,250000,3812,500000,5718,750000,7624,1000000
53,2001,250000,4003,500000,6004,750000,8005,1000000
54,2101,250000,4203,500000,6304,750000,8405,1000000
55,2206,250000,4413,500000,6619,750000,8826,1000000
56,2317,250000,4633,500000,6950,750000,9267,1000000
57,2433,250000,4865,500000,7298,750000,9730,1000000
58,2554,250000,5108,500000,7663,750000,10217,1000000
59,2682,250000,5364,500000,8046,750000,10728,1000000
60,2816,250000,5632,500000,8448,750000,11264,1000000
61,2957,250000,5914,500000,8870,750000,11827,1000000
62,3105,250000,6209,500000,9314,750000,12419,1000000
63,3260,250000,6520,500000,9780,750000,13039,1000000
64,3423,250000,6846,500000,10269,750000,13691,1000000
65,3594,250000,7188,500000,10782,750000,14376,1000000
66,3774,250000,7547,500000,11321,750000,15095,1000000
67,3962,250000,7925,500000,11887,750000,15850,1000000
68,4161,250000,8321,500000,12482,750000,16642,1000000
69,4369,250000,8737,500000,13106,750000,17474,1000000
70,4587,250000,9174,500000,13761,750000,18348,1000000
71,4816,250000,9633,500000,14449,750000,19265,1000000
