age,choice_1,coverage_1,choice_2,coverage_2,choice_3,coverage_3,choice_4,coverage_4
20,2400,0.4,4800,0.6,7200,0.8,9600,1
21,2520,0.4,5040,0.6,7560,0.8,10080,1
22,2646,0.4,5292,0.6,7938,0.8,10584,1
23,2778,0.4,5557,0.6,8335,0.8,11113,1
24,2917,0.4,5834,0.6,8752,0.8,11669,1
25,3063,0.4,6126,0.6,9189,0.8,12252,1
26,3216,0.4,6432,0.6,9649,0.8,12865,1
27,3377,0.4,6754,0.6,10131,0.8,13508,1
28,3546,0.4,7092,0.6,10638,0.8,14184,1
29,3723,0.4,7446,0.6,11170,0.8,14893,1
30,3909,0.4,7819,0.6,11728,0.8,15637,1
31,4105,0.4,8210,0.6,12314,0.8,16419,1
32,4310,0.4,8620,0.6,12930,0.8,17240,1
33,4526,0.4,9051,0.6,13577,0.8,18102,1
34,4752,0.4,9504,0.6,14256,0.8,19007,1
35,4989,0.4,9979,0.6,14968,0.8,19958,1
36,5239,0.4,10478,0.6,15717,0.8,20956,1
37,5501,0.4,11002,0.6,16503,0.8,22003,1
38,5776,0.4,11552,0.6,17328,0.8,23104,1
39,6065,0.4,12129,0.6,18194,0.8,24259,1
40,6368,0.4,12736,0.6,19104,0.8,25472,1
41,6686,0.4,13373,0.6,20059,0.8,26745,1
42,7021,0.4,14041,0.6,21062,0.8,28083,1
43,7372,0.4,14743,0.6,22115,0.8,29487,1
44,7740,0.4,15480,0.6,23221,0.8,30961,1
45,8127,0.4,16255,0.6,24382,0.8,32509,1
46,8534,0.4,17067,0.6,25601,0.8,34134,1
47,8960,0.4,17921,0.6,26881,0.8,35841,1
48,9408,0.4,18817,0.6,28225,0.8,37633,1
49,9879,0.4,19757,0.6,29636,0.8,39515,1
50,10373,0.4,20745,0.6,31118,0.8,41491,1
51,10891,0.4,21783,0.6,32674,0.8,43565,1
52,11436,0.4,22872,0.6,34308,0.8,45743,1
53,12008,0.4,24015,0.6,36023,0.8,48031,1
54,12608,0.4,25216,0.6,37824,0.8,50432,1
55,13238,0.4,26477,0.6,39715,0.8,52954,1
56,13900,0.4,27801,0.6,41701,0.8,55601,1
57,14595,0.4,29191,0.6,43786,0.8,58382,1
58,15325,0.4,30650,0.6,45975,0.8,61301,1
59,16091,0.4,32183,0.6,48274,0.8,64366,1
60,16896,0.4,33792,0.6,50688,0.8,67584,1
61,17741,0.4,35482,0.6,53222,0.8,70963,1
62,18628,0.4,37256,0.6,55883,0.8,74511,1
63,19559,0.4,39118,0.6,58678,0.8,78237,1
64,20537,0.4,41074,0.6,61611,0.8,82149,1
65,21564,0.4,43128,0.6,64692,0.8,86256,1
66,22642,0.4,45284,0.6,67927,0.8,90569,1
67,23774,0.4,47549,0.6,71323,0.8,95097,1
68,24963,0.4,49926,0.6,74889,0.8,99852,1
69,26211,0.4,52422,0.6,78634,0.8,104845,1
70,27522,0.4,55044,0.6,82565,0.8,110087,1
