step,age,wage,
1,20,180000,
2,21,184500,
3,21,189113,
4,22,193840,
5,23,198686,
6,24,203653,
7,24,208745,
8,25,213963,
9,26,219313,
10,27,224795,
11,27,230415,
12,28,236176,
13,29,242080,
14,30,248132,
15,30,254335,
16,31,260694,
17,32,267211,
18,32,273891,
19,33,280739,
20,34,287757,
21,35,294951,
22,35,302325,
23,36,309883,
24,37,317630,
25,38,325571,
26,38,333710,
27,39,342053,
28,40,350604,
29,41,359369,
30,41,368353,
31,42,377562,
32,43,387001,
33,44,396676,
34,44,406593,
35,45,416758,
36,46,427177,
37,47,437856,
38,48,448803,
39,49,460023,
40,50,471523,
41,51,483311,
42,52,495394,
43,53,507779,
44,54,520474,
45,55,533485,
46,56,546823,
47,57,560493,
48,58,574505,
49,59,588868,
50,60,603590,
51,61,618680,
52,62,634147,
53,63,650000,
54,64,666250,
55,65,682906,
56,66,699979,
57,67,717479,
58,68,735416,
59,69,753801,
60,70,772646,
