step,age,wage
1,30,300000
2,30,300000
3,31,307500
4,31,307500
5,32,315188
6,32,315188
7,33,323067
8,33,323067
9,34,331144
10,34,331144
11,34,331144
12,35,339422
13,35,339422
14,36,347908
15,36,347908
16,37,356606
17,37,356606
18,37,356606
19,38,365521
20,38,365521
21,39,374659
22,39,374659
23,40,384025
24,40,384025
25,41,393626
26,41,393626
27,41,393626
28,42,403467
29,42,403467
30,43,413553
31,43,413553
32,44,423892
33,44,423892
34,45,434489
35,45,434489
36,46,445352
37,47,456485
38,48,467898
39,49,479595
40,50,491585
41,51,503875
42,52,516471
43,53,529383
44,54,542618
45,55,556183
46,56,570088
47,57,584340
48,58,598949
49,59,613922
50,60,629270
51,61,0
52,62,0
53,63,0
54,64,0
55,65,0
56,66,0
57,67,0
58,68,0
59,69,0
60,70,0
